window_id,window_start_date,window_end_date,event_count,total_estimated_impact_energy_kt,max_estimated_impact_energy_kt,event_ids,dates_utc,window_note
HEF_0021,2013-12-08,2013-12-22,1,0.36,0.36,FB_20131208031009_00454,2013-12-08 03:10:09,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0168,2023-12-11,2023-12-25,1,0.36,0.36,FB_20231211083258_00080,2023-12-11 08:32:58,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0101,2019-04-06,2019-04-20,2,0.34,0.23,FB_20190406115909_00263 | FB_20190414175433_00262,2019-04-06 11:59:09 | 2019-04-14 17:54:33,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0150,2022-10-20,2022-11-03,2,0.33,0.17,FB_20221020205507_00121 | FB_20221028174011_00120,2022-10-20 20:55:07 | 2022-10-28 17:40:11,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0145,2022-05-24,2022-06-07,1,0.33,0.33,FB_20220524023820_00138,2022-05-24 02:38:20,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0082,2017-12-31,2018-01-14,2,0.32,0.21,FB_20171231093610_00311 | FB_20180106182427_00310,2017-12-31 09:36:10 | 2018-01-06 18:24:27,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0100,2019-03-15,2019-03-29,2,0.32,0.22,FB_20190315122656_00267 | FB_20190319020639_00266,2019-03-15 12:26:56 | 2019-03-19 02:06:39,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0198,2026-01-30,2026-02-13,2,0.31,0.19,FB_20260130102537_00014 | FB_20260131180714_00013,2026-01-30 10:25:37 | 2026-01-31 18:07:14,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0124,2020-11-25,2020-12-09,1,0.31,0.31,FB_20201125122050_00193,2020-11-25 12:20:50,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0164,2023-08-17,2023-08-31,1,0.31,0.31,FB_20230817055737_00091,2023-08-17 05:57:37,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0187,2025-02-22,2025-03-08,2,0.3,0.18,FB_20250222001650_00040 | FB_20250222102608_00039,2025-02-22 00:16:50 | 2025-02-22 10:26:08,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0048,2015-09-17,2015-10-01,1,0.3,0.3,FB_20150917210314_00385,2015-09-17 21:03:14,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0025,2014-03-03,2014-03-17,1,0.29,0.29,FB_20140303150021_00446,2014-03-03 15:00:21,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0197,2025-12-16,2025-12-30,1,0.29,0.29,FB_20251216205812_00015,2025-12-16 20:58:12,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0130,2021-05-02,2021-05-16,2,0.28,0.18,FB_20210502141249_00177 | FB_20210506055426_00176,2021-05-02 14:12:49 | 2021-05-06 05:54:26,High-energy fireballs >= 0.1 kt inside 14-day window
